Dataset,Country,Target,Pattern,Rate,Method,MAE,RMSE,KL_Div,MASE
COVID19_Study,Czechia,new_cases,Point,0.3,Rolling,1203.6650552486187,2420.7549460854325,0.1874344743239046,0.7025650423876756
COVID19_Study,Czechia,new_cases,Point,0.3,MICE,3521.113526343633,5250.775011832079,1.703527294260149,2.055232278365399
COVID19_Study,Czechia,new_cases,Point,0.3,SAITS,1731.5147504226939,3421.9996534044926,0.7163898343578216,1.0106646601735358
COVID19_Study,Czechia,new_cases,Point,0.5,mean,4416.598472183951,6702.635441503053,13.234645918790427,2.4906530805071627
COVID19_Study,Czechia,new_cases,Point,0.5,median,3586.1631578947367,7252.208089277047,12.578946113111833,2.0223455613331125
COVID19_Study,Czechia,new_cases,Point,0.5,most_frequent,3848.6649122807016,7719.520806075892,6.1074741179361345,2.170378217531683
COVID19_Study,Czechia,new_cases,Point,0.5,LOCF,1694.2929824561404,3588.5136822044333,0.31981799233030117,0.9554629116985067
COVID19_Study,Czechia,new_cases,Point,0.5,Linear,1374.2424436090225,3430.825686763871,0.25301916206377334,0.7749767603044049
COVID19_Study,Czechia,new_cases,Point,0.5,Rolling,1530.5773391812863,3599.045647565171,0.29131241517878104,0.8631387228871803
COVID19_Study,Czechia,new_cases,Point,0.5,MICE,3631.6949727537835,5969.208772151833,1.4913816319872293,2.0480223249451983
COVID19_Study,Czechia,new_cases,Point,0.5,SAITS,2200.8160240708735,4874.77048718599,0.40176753244754226,1.2411065313055571
COVID19_Study,Czechia,new_cases,Sequence,0.1,mean,4676.283443327046,7138.034437268754,13.021083787852199,3.3586594964639995
COVID19_Study,Czechia,new_cases,Sequence,0.1,median,3930.1666666666665,7823.220067975973,5.088060239657297,2.82277405928473
COVID19_Study,Czechia,new_cases,Sequence,0.1,most_frequent,4192.684684684685,8276.578814030883,5.088060239657297,3.0113230736665044
COVID19_Study,Czechia,new_cases,Sequence,0.1,LOCF,1750.3783783783783,3469.813690249816,1.6323324014792777,1.257178918727626
COVID19_Study,Czechia,new_cases,Sequence,0.1,Linear,1795.5327327327327,3539.058277021561,0.7981062386010489,1.2896102507666123
COVID19_Study,Czechia,new_cases,Sequence,0.1,Rolling,1959.1036036036037,3885.4812347604607,0.7122483072070205,1.4070921924524373
COVID19_Study,Czechia,new_cases,Sequence,0.1,MICE,3768.1686025659938,6388.760145654783,1.9034703885934419,2.706421758789147
COVID19_Study,Czechia,new_cases,Sequence,0.1,SAITS,1769.2731853949058,3720.7837045378196,1.1169686512052595,1.2707497862314923
COVID19_Study,Czechia,new_cases,Sequence,0.3,mean,4450.603009761602,6249.371369292408,13.766368197254637,2.8468878065474663
COVID19_Study,Czechia,new_cases,Sequence,0.3,median,3505.7126245847176,6778.189510042719,12.63367917950652,2.242476020058313
COVID19_Study,Czechia,new_cases,Sequence,0.3,most_frequent,3739.797342192691,7271.452511333944,5.837545073017816,2.3922114439538142
COVID19_Study,Czechia,new_cases,Sequence,0.3,LOCF,1485.654485049834,2878.5063887197352,1.1780160017133645,0.9503187835343421
COVID19_Study,Czechia,new_cases,Sequence,0.3,Linear,1311.9146495807624,2583.3593552295497,0.46635254191578274,0.8391837714868494
COVID19_Study,Czechia,new_cases,Sequence,0.3,Rolling,1610.0963455149501,3141.272707188956,0.35981197012614197,1.029919685795269
COVID19_Study,Czechia,new_cases,Sequence,0.3,MICE,3640.8840751177477,5547.708704595202,1.5578047783595586,2.328940248270038
COVID19_Study,Czechia,new_cases,Sequence,0.3,SAITS,1905.4134914867109,4060.991442853237,0.4486551035599373,1.2188232523653275
COVID19_Study,Czechia,new_cases,Sequence,0.5,mean,4741.315799517814,7478.802463267526,13.48207434975419,3.131016831618215
COVID19_Study,Czechia,new_cases,Sequence,0.5,median,3936.164859002169,8086.950430053005,12.578378939188278,2.5993203040416093
COVID19_Study,Czechia,new_cases,Sequence,0.5,most_frequent,4192.210412147506,8569.861566500387,5.383573170451972,2.768404788277098
COVID19_Study,Czechia,new_cases,Sequence,0.5,LOCF,1840.9175704989154,3736.02884597549,0.8018422220734073,1.2156844518646073
COVID19_Study,Czechia,new_cases,Sequence,0.5,Linear,1675.6403332989019,3532.8516910345743,0.18013803277982238,1.1065405278068117
COVID19_Study,Czechia,new_cases,Sequence,0.5,Rolling,2036.9262472885032,4012.3090931805204,0.45751726914834784,1.345122458553347
COVID19_Study,Czechia,new_cases,Sequence,0.5,MICE,3975.9459299224004,6769.609494284231,2.196972198796266,2.625590480485817
COVID19_Study,Czechia,new_cases,Sequence,0.5,SAITS,2183.741666843472,4838.10696270994,0.40199578033065664,1.4420747749998588
COVID19_Study,Czechia,new_cases,Block,0.1,mean,2368.5160094112825,2789.687339242365,12.65093447563268,1.6196338631424754
COVID19_Study,Czechia,new_cases,Block,0.1,median,1487.780701754386,1888.4800975777766,14.48257358323146,1.0173712129943437
COVID19_Study,Czechia,new_cases,Block,0.1,most_frequent,1984.359649122807,2550.1609495130015,10.416698811465634,1.3569408319818255
COVID19_Study,Czechia,new_cases,Block,0.1,LOCF,1951.359649122807,2524.5677118229464,10.016092495870785,1.3343748382239928
COVID19_Study,Czechia,new_cases,Block,0.1,Linear,1030.8480549199082,1419.2933587850612,0.4078314460133986,0.7049124476544416
COVID19_Study,Czechia,new_cases,Block,0.1,Rolling,1875.6842105263158,2432.7400081735864,9.161007471164563,1.2826266117091545
